rotate,B,99.98
rotate,B,99.90
rotate,B,99.84
rotate,B,99.96
rotate,B,99.65
rotate,B,99.97
rotate,B,99.80
rotate,B,99.99
rotate,B,99.88
rotate,B,99.96
rotate,B,99.83
rotate,B,99.96
rotate,B,99.99
occlusion,Uncertain,57.60
occlusion,B,97.01
occlusion,B,97.54
occlusion,B,96.58
occlusion,B,95.55
occlusion,B,93.90
occlusion,B,96.68
occlusion,B,74.88
occlusion,B,96.41
occlusion,B,99.89
occlusion,B,99.82
occlusion,B,99.30
occlusion,B,98.58
occlusion,B,99.17
occlusion,B,86.66
occlusion,B,84.37
occlusion,A,70.26
occlusion,Uncertain,46.33
occlusion,Uncertain,48.48
occlusion,A,65.09
occlusion,B,86.99
occlusion,A,99.04
occlusion,A,94.08
occlusion,Uncertain,52.04
occlusion,Uncertain,56.26
occlusion,A,87.97
occlusion,B,91.94
occlusion,A,99.37
occlusion,B,62.22
occlusion,Uncertain,48.49
occlusion,Uncertain,58.08
occlusion,B,91.09
occlusion,B,93.40
occlusion,A,85.33
occlusion,A,82.36
occlusion,A,72.07
occlusion,B,91.75
occlusion,B,86.45
occlusion,A,60.18
occlusion,B,95.93
occlusion,B,62.94
occlusion,B,64.69
occlusion,B,97.02
occlusion,B,97.70
occlusion,B,95.36
occlusion,B,69.12
occlusion,B,82.69
occlusion,B,97.25
occlusion,B,98.87
occlusion,B,94.76
occlusion,B,98.11
occlusion,B,68.96
occlusion,B,78.99
occlusion,B,92.19
occlusion,B,82.54
occlusion,B,97.69
occlusion,Uncertain,57.88
occlusion,B,93.38
occlusion,B,98.42
occlusion,B,69.95
occlusion,B,93.56
occlusion,B,98.84
occlusion,B,95.70
occlusion,B,96.44
occlusion,B,98.22
occlusion,B,99.36
occlusion,B,98.43
occlusion,B,99.49
occlusion,B,80.00
occlusion,B,89.70
occlusion,Uncertain,47.89
occlusion,Uncertain,59.19
occlusion,Uncertain,51.41
occlusion,Uncertain,32.19
occlusion,B,63.43
occlusion,A,63.08
occlusion,B,91.77
occlusion,B,68.59
occlusion,B,74.07
occlusion,Uncertain,51.79
occlusion,Uncertain,46.38
occlusion,Uncertain,54.88
occlusion,E,66.76
occlusion,Uncertain,47.22
occlusion,E,87.32
occlusion,E,63.93
occlusion,B,60.27
occlusion,Uncertain,48.99
occlusion,E,64.41
occlusion,Uncertain,48.86
occlusion,E,66.48
occlusion,Uncertain,45.29
occlusion,Uncertain,59.06
occlusion,Uncertain,53.54
occlusion,Uncertain,51.26
occlusion,C,97.83
occlusion,C,91.09
occlusion,C,86.29
occlusion,C,98.43
occlusion,C,91.32
occlusion,C,92.27
occlusion,B,82.27
occlusion,C,97.57
